uid,city,source,title,description_en,domain,cluster,indicator_direct,fit,proxy_link,spans,spatial_label,temporal_label,year_min,year_max,year_span_elapsed,spatial_evidence,temporal_depth_evidence,cadence_evidence,resource_url,declared_spatial_coverage,declared_temporal_coverage,round_tag,source_row
df_c::16839,Antwerp,GIK / Stad in Cijfers (df_c),Aantal respondenten vanaf 18 jaar dat voldoende beweegt - mannen,Number of respondents from 18 years of age who exercise sufficiently - men: The minimum number of male respondents (from 18 years of age) of the Antwerp health survey who exercise sufficiently to have health benefits.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; annual-or-finer,2015,2019,4,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=n_beweegnorm_man,,,,2
df_c::16842,Antwerp,GIK / Stad in Cijfers (df_c),Aantal respondenten vanaf 18 jaar dat voldoende beweegt - vrouwen,Number of respondents from 18 years of age who exercise sufficiently - women: The minimum number of female respondents (from 18 years of age) of the Antwerp health survey who exercise sufficiently to have health benefits.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; annual-or-finer,2015,2019,4,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=n_beweegnorm_vrouw,,,,3
df_c::16832,Antwerp,GIK / Stad in Cijfers (df_c),Aantal respondenten vanaf 18 jaar dat voldoende beweegt,Number of respondents from 18 years of age who exercise sufficiently: The minimum number of respondents (from 18 years of age) of the Antwerp health survey who exercise sufficiently to have health benefits.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; annual-or-finer,2015,2019,4,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=n_beweegnorm,,,,4
df_c::16844,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel respondenten vanaf 18 jaar dat voldoende beweegt - vrouwen,Share of respondents aged 18 and over who exercise sufficiently - women: The minimum percentage of female respondents (aged 18 and over) of the Antwerp health survey who exercise sufficiently to have health benefits.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; multi-year,2015,2019,4,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pct_beweegnorm_vrouw,,,,5
df_c::16836,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel respondenten vanaf 18 jaar dat voldoende beweegt,Share of respondents from the age of 18 who exercise sufficiently: The minimum percentage of respondents (from the age of 18) of the Antwerp health survey who exercise sufficiently to have health benefits.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; multi-year,2015,2019,4,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pct_beweegnorm,,,,6
df_c::16835,Antwerp,GIK / Stad in Cijfers (df_c),Respons op vragen naar bewegen bij 18-plussers,Response to questions about exercise among people over 18: The number of respondents aged 18 and older who answered the questions about exercise frequency.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; annual-or-finer,2015,2019,4,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=n_respons_beweegnorm,,,,7
df_c::16840,Antwerp,GIK / Stad in Cijfers (df_c),Respons op vragen naar bewegen door mannen vanaf 18 jaar,Response to questions about exercise by men from the age of 18: The number of male respondents from the age of 18 who answered the questions about exercise frequency.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; annual-or-finer,2015,2019,4,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=n_respons_beweegnorm_man,,,,8
df_c::16843,Antwerp,GIK / Stad in Cijfers (df_c),Respons op vragen naar bewegen door vrouwen vanaf 18 jaar,Response to questions about exercise by women from the age of 18: The number of female respondents from the age of 18 who answered the questions about exercise frequency.,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),2-4 years; annual-or-finer,2015,2019,4,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=n_respons_beweegnorm_vrouw,,,,9
df_c::2049,Antwerp,GIK / Stad in Cijfers (df_c),Respons bij vragen naar frequentie bewegen en frequentie sporten,Response to questions about exercise frequency and exercise frequency,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),single year; one-off,2017,2017,0,source-system rule,HARVESTED,TEXT,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_bewnorm_samengesteld_clt,,,,10
df_c::2045,Antwerp,GIK / Stad in Cijfers (df_c),Aantal respondenten dat de beweegnorm haalt,Number of respondents who meet the exercise standard,Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),single year; one-off,2017,2017,0,source-system rule,HARVESTED,TEXT,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_bewnorm_samengesteld_sum,,,,11
df_c::2433,Antwerp,GIK / Stad in Cijfers (df_c),Haalt de beweegnorm,"Achieves the exercise standard: Share (%) of residents who exercise at least 30 minutes per day (walking, walking, cycling, etc.) or participate in active sports for at least 20 minutes several times a week",Total PA,Overall activity levels,Prevalence of (in)sufficient PA,Direct match,,,Sub-city (district-zone),single year; multi-year,2017,2017,0,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_bewnorm_samengesteld,,,,12
